FlujoRx,FlujoCh,Concent,Tempera,Volumen
82.956,102.97,0.99996,348.54,0.58367
83.388,105.51,0.99998,348.48,0.60142
79.086,104.24,1.0001,348.55,0.61981
83.738,104.38,1.0001,348.68,0.63882
81.676,104.11,1,348.73,0.65755
84.524,106.27,0.99987,348.78,0.67651
82.602,107.18,0.99977,348.82,0.6957
83.454,104.98,0.99974,348.93,0.71932
81.285,107.22,0.9998,349.11,0.74221
83.535,103.86,0.99988,349.23,0.76514
82.999,105.46,0.99988,349.31,0.78814
84.249,106.56,0.99988,349.4,0.81494
80.789,104.72,0.99985,349.55,0.84097
80.554,107.99,0.99972,349.77,0.86619
79.643,104.37,0.99962,349.86,0.89175
83.228,103.4,0.99962,349.86,0.92248
82.965,102.21,0.99961,350.02,0.95344
84.483,106.85,0.9996,350.24,0.98431
84.411,102.14,0.99957,350.35,1.0147
84.374,107.19,0.99953,350.44,1.0591
81.24,104.85,0.99949,350.53,1.1028
83.324,102.88,0.99941,350.44,1.1442
81.465,106.43,0.99937,350.33,1.1855
81.812,106,0.99946,350.32,1.243
82.133,102.71,0.99951,350.25,1.2977
84.324,107.69,0.99951,350.17,1.351
79.486,102.13,0.99948,350.06,1.4062
83.042,107.88,0.99946,350.11,1.4608
84.13,103.49,0.99946,350.25,1.5121
81.009,105.17,0.99947,350.25,1.5601
81.766,105.71,0.99951,350.16,1.6091
83.065,103.25,0.99955,350.07,1.6698
82.101,107.77,0.99958,350,1.729
84.051,103.34,0.9996,350,1.787
79.666,106.04,0.99957,349.95,1.8469
83.355,105.94,0.99957,349.95,1.9104
84.728,102.09,0.99958,350.01,1.9711
81.342,107.66,0.9995,349.96,2.0279
83.939,106.82,0.99938,349.89,2.0826
83.958,102.45,0.9993,350.02,2.1637
84.09,103.2,0.99935,350.18,2.2475
79.778,103.67,0.99948,350.26,2.3312
80.806,107.3,0.99953,350.18,2.4127
82.664,107.42,0.99944,350.24,2.5271
82.905,103.81,0.99933,350.43,2.6442
81.6,105.5,0.99917,350.41,2.7714
84.395,102.83,0.99907,350.3,2.8923
83.696,102.27,0.99905,350.35,2.9903
81.066,106.47,0.99904,350.37,3.0894
84.201,107.97,0.99908,350.26,3.1861
80.572,106.44,0.99907,350.15,3.2829
80.257,105.3,0.99901,350.17,3.3784
79.684,107.96,0.99891,350.22,3.4759
83.831,104.96,0.99872,350.21,3.584
82.481,107.77,0.99855,350.16,3.6873
83.526,103.91,0.99858,350.1,3.7684
79.642,103.18,0.99866,350.05,3.8479
82.039,102.16,0.99868,350.01,3.9256
83.475,102.11,0.99871,349.94,4.0046
82.933,103.4,0.9987,349.97,4.0883
84.877,107.27,0.99869,350.02,4.1651
82.697,102.48,0.99879,349.9,4.2296
83.717,107.68,0.99889,349.79,4.2973
79.443,102.72,0.99888,349.92,4.3685
83.197,102.97,0.99885,349.99,4.4422
84.773,105.99,0.9988,349.85,4.5255
81.587,106.19,0.99875,349.74,4.6059
84.687,103.36,0.9987,349.79,4.6643
79.293,102.21,0.99865,349.86,4.7247
81.371,105.24,0.99863,349.94,4.7954
80.704,107.22,0.99865,349.94,4.8634
81.441,106.97,0.99866,349.91,4.9168
84.887,102.69,0.99867,349.87,4.9731
84.543,107.08,0.99873,349.78,5.0318
79.541,102.03,0.99881,349.76,5.0892
80.681,104.23,0.99885,349.85,5.1575
81.901,106.38,0.99888,349.96,5.2212
82.415,105.86,0.99886,350.11,5.2749
81.138,106.44,0.9988,350.15,5.3322
79.989,107.4,0.99872,350.11,5.3961
80.348,106.89,0.99866,350.14,5.4609
82.677,104.32,0.99862,350.25,5.5296
81.455,107.85,0.99859,350.31,5.5972
80.79,102.04,0.99855,350.32,5.6589
81.166,106.65,0.99852,350.3,5.7153
81.675,105.59,0.99855,350.25,5.7702
79.092,106.35,0.9986,350.21,5.8269
80.579,103.62,0.99859,350.24,5.8987
82.758,105.41,0.99852,350.23,5.9728
79.812,107.35,0.99848,350.15,6.0521
82.492,103.46,0.99847,350.11,6.1324
84.058,102.62,0.99847,350.2,6.2396
82.092,104.66,0.99843,350.13,6.3374
82.711,107.18,0.99833,349.92,6.4245
83.783,103.79,0.99829,349.8,6.5102
80.512,102.08,0.99819,349.83,6.6325
80.706,104.33,0.99808,349.76,6.7552
84.278,106.86,0.99815,349.64,6.8809
84.922,107.46,0.99828,349.61,7.0051
81.16,106.63,0.99819,349.7,7.1699
